Year_Birth,Education,Marital_Status,,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntGoldProds,MntWines,MntFruits,MntFishProducts,MntSweetProducts,MntMeatProducts,NumDealsPurchases,NumWebPurchases,AcceptedCmp3,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,Complain
1990,Master,Single,,"91,172.00",0,0,3/27/13,94,56,162,28,0,28,818,0,4,1,3,7,3,1,0,1,1,0
1964,Graduation,Single,,"61,839.00",0,0,08-12-2012,20,120,1000,155,224,17,379,1,4,0,8,4,8,0,0,0,0,0
1970,PhD,Married,,"69,084.00",1,0,11/19/13,43,30,1181,107,39,30,199,2,7,0,3,13,8,0,0,0,0,0
1983,Graduation,Married,,"25,271.00",1,0,12-05-2012,45,7,10,1,10,4,18,1,1,0,1,2,9,0,0,0,0,0
1958,PhD,Single,,"79,761.00",0,1,10-04-2013,32,11,415,5,15,35,124,1,5,0,2,11,3,0,0,0,0,0
1976,Graduation,Married,,"74,068.00",0,0,3/19/13,14,15,783,30,140,76,537,1,4,0,10,9,2,0,0,0,0,0
1958,Master,Together,,"46,692.00",0,1,06-06-2013,37,88,170,6,24,12,97,3,6,0,1,5,6,0,0,0,0,0
1969,Master,Single,,"26,877.00",0,0,8/19/13,74,40,101,13,20,18,76,2,3,0,1,6,6,0,0,0,0,0
1971,Graduation,Together,,"34,600.00",1,1,01-01-2013,8,15,199,33,8,3,60,5,5,0,2,5,8,0,0,0,0,0
1953,Graduation,Together,,"94,384.00",0,0,03-04-2013,62,172,1111,24,160,45,790,0,5,0,8,5,2,0,1,1,1,0
1974,Graduation,Married,,"67,445.00",0,1,08-12-2012,63,11,757,80,29,80,217,5,9,0,6,12,6,0,0,0,0,0
1986,Basic,Single,,"14,906.00",0,0,12/22/12,86,15,7,7,7,16,14,3,2,0,1,3,7,0,0,0,0,0
1966,Graduation,Single,,"34,704.00",0,1,4/27/13,65,5,29,0,0,1,5,1,1,0,0,3,5,0,0,0,0,0
1990,Graduation,Married,,"18,929.00",0,0,2/16/13,15,18,32,0,23,4,8,1,1,0,0,4,6,0,0,0,0,0
1949,Master,Married,,"81,698.00",0,0,11-06-2013,4,47,179,28,111,123,520,1,3,0,8,13,1,0,0,0,0,0
1950,Graduation,Together,,"34,026.00",1,1,08-05-2013,11,17,18,6,12,8,15,3,2,0,1,3,5,0,0,0,0,0
1950,Master,Divorced,,"63,120.00",0,1,9/28/12,53,69,965,69,54,41,279,5,8,0,4,9,7,0,0,0,0,0
1970,Graduation,Married,,"69,016.00",0,1,11/22/12,61,161,726,53,123,107,363,4,8,0,9,13,5,0,0,0,0,0
1983,Graduation,Married,,"30,096.00",1,0,5/22/14,30,9,5,3,12,5,11,1,2,0,0,3,6,0,0,0,0,0
1975,Graduation,Single,,"53,201.00",1,1,02-12-2013,49,27,280,7,20,0,81,8,6,0,3,5,7,0,0,0,0,0
1982,Graduation,Married,,"69,109.00",0,0,11-09-2012,10,95,823,25,124,29,459,1,6,0,6,7,4,0,0,1,0,0
1973,Graduation,Married,,"24,639.00",1,1,1/28/14,3,1,20,3,0,4,16,3,2,0,0,4,6,0,0,0,0,0
1987,Basic,Single,,"21,063.00",1,0,9/25/13,34,15,1,10,19,3,11,2,2,0,0,3,6,0,0,0,0,0
1973,PhD,Married,,"85,844.00",0,0,5/29/14,62,38,938,19,25,95,843,1,6,0,6,7,2,0,0,1,0,0
1970,PhD,Married,,"69,084.00",1,0,11/19/13,43,30,1181,107,39,30,199,2,7,0,3,13,8,0,0,0,0,0
1960,Master,Together,,"83,151.00",0,0,10-10-2012,93,18,407,28,120,74,100,1,5,0,9,4,3,0,0,0,0,0
1974,PhD,Married,,"34,596.00",1,0,4/13/13,48,7,14,0,0,0,2,1,1,0,0,2,8,0,0,0,0,0
1958,Graduation,Divorced,,"35,246.00",1,1,4/16/14,53,10,36,0,2,2,12,4,3,0,1,3,5,0,0,0,0,0
1971,Graduation,Divorced,,"43,300.00",0,1,10/13/12,87,31,91,3,2,1,52,3,4,0,0,4,8,0,0,0,0,0
1965,PhD,Married,,"71,322.00",0,1,2/16/13,57,204,753,43,69,10,226,2,8,0,5,13,4,0,0,0,0,0
1963,Graduation,Married,,"22,419.00",0,0,4/18/13,74,42,30,3,19,21,47,1,3,0,2,2,8,0,0,0,0,0
1965,PhD,Divorced,,"47,025.00",1,1,02-09-2014,6,1,16,0,0,0,3,1,1,0,0,2,7,0,0,0,0,0
1976,2n Cycle,Together,,"75,484.00",0,1,08-02-2012,50,34,378,97,197,194,259,2,7,0,3,6,4,0,0,0,0,0
1962,PhD,Widow,,"82,571.00",0,0,04-02-2014,28,79,861,31,62,95,558,0,6,0,5,13,2,0,0,1,0,0
1957,Graduation,Together,,"47,320.00",0,1,08-01-2013,10,19,200,19,50,15,111,6,5,0,1,8,6,0,0,0,0,0
1966,Graduation,Divorced,,"48,877.00",0,1,01-05-2014,27,24,102,1,2,0,15,1,3,0,0,4,7,0,0,0,0,0
1982,Graduation,Together,,"71,853.00",0,0,05-08-2013,29,32,358,108,141,97,413,1,2,0,8,6,1,0,0,0,0,0
1964,Graduation,Married,,"82,224.00",0,0,1/25/14,83,40,307,26,138,31,360,1,6,0,9,5,3,0,0,0,1,0
1996,2n Cycle,Married,,"7,500.00",0,0,11-09-2012,24,50,3,18,15,22,14,3,3,0,1,3,9,0,0,0,0,0
1966,Master,Together,,"45,903.00",0,1,4/23/14,80,3,33,8,2,10,10,2,2,0,1,3,4,0,0,0,0,0
1989,Graduation,Single,,"64,449.00",1,0,2/18/14,70,70,218,63,137,35,282,4,5,0,3,12,4,0,0,0,0,0
1965,Master,Married,,"56,962.00",2,1,10-11-2013,60,26,292,3,10,3,77,7,6,0,3,5,7,0,0,0,0,0
1986,Graduation,Married,,"71,952.00",1,0,01-10-2013,93,93,656,80,52,107,455,2,8,1,4,8,4,0,0,1,0,0
1947,PhD,Together,,"73,059.00",0,1,8/31/13,36,71,410,112,0,82,420,1,9,0,3,13,4,0,0,0,0,0
1984,Graduation,Married,,"55,434.00",1,0,10-05-2013,21,76,238,115,169,69,215,3,5,0,3,13,4,0,0,0,0,0
1948,PhD,Married,,"61,467.00",0,2,12-09-2012,69,49,410,16,0,5,114,3,5,0,2,10,5,0,0,0,0,0
1956,Master,Together,,"55,249.00",0,1,4/17/14,81,11,97,1,2,0,19,1,2,0,1,4,3,0,0,0,0,0
1945,Master,Together,,"62,847.00",0,0,1/15/13,45,61,521,168,80,76,706,1,3,0,6,4,2,0,0,0,0,0
1969,Graduation,Together,,"58,917.00",1,2,3/24/13,10,28,151,7,0,7,89,5,4,0,1,6,5,0,0,0,0,0
1952,2n Cycle,Widow,,"28,457.00",0,0,10/28/12,96,14,24,1,29,29,108,1,4,0,1,4,8,0,0,0,0,0
1971,Graduation,Married,,"18,793.00",1,0,01-12-2013,14,20,4,16,0,17,20,3,2,0,0,4,8,0,0,0,0,0
1973,PhD,Married,,"37,401.00",1,0,05-06-2014,14,3,19,3,3,1,19,2,2,0,0,3,7,0,0,0,0,0
1956,2n Cycle,Divorced,,"31,395.00",1,1,3/23/13,80,7,23,1,0,8,25,4,2,0,1,3,6,0,0,0,0,0
1976,PhD,Married,,"68,397.00",0,1,11/17/13,6,80,760,80,17,13,466,1,6,0,9,5,3,0,0,0,0,0
1956,Graduation,Divorced,,"46,086.00",0,1,11-03-2013,34,50,244,8,7,2,32,4,3,0,1,8,4,0,0,0,0,0
1957,Graduation,Single,,"78,499.00",0,0,11/23/13,12,97,912,72,47,36,170,1,11,0,3,4,4,0,0,1,0,0
1976,PhD,Married,,"55,424.00",0,1,11/25/12,6,107,462,61,10,53,184,4,7,1,5,9,6,0,0,0,0,0
1975,2n Cycle,Married,,"17,003.00",1,0,12-09-2013,37,7,2,5,4,8,12,3,2,0,0,4,5,0,0,0,0,0
1900,2n Cycle,Divorced,,"36,640.00",1,0,9/26/13,99,25,15,6,7,4,8,1,2,0,1,2,5,0,0,0,0,1
1953,Graduation,Together,,"48,794.00",1,1,6/26/14,97,15,25,0,3,0,11,1,1,0,0,3,4,0,0,0,0,0
1987,Master,Divorced,,"61,787.00",0,0,07-06-2013,71,85,621,73,78,48,414,1,8,0,4,6,5,0,0,0,0,0
1973,Graduation,Married,,"59,041.00",1,1,05-07-2014,25,6,69,2,2,2,15,2,2,0,0,4,5,0,0,0,0,0
1974,Graduation,Divorced,,"39,996.00",1,1,5/22/14,85,1,11,0,0,0,3,1,1,0,0,2,6,0,0,0,0,0
1978,PhD,Single,,"54,880.00",1,0,03-01-2013,57,118,308,85,102,45,137,2,6,0,2,11,5,0,0,0,0,0
1981,2n Cycle,Together,,"75,774.00",1,0,05-02-2014,27,56,340,21,258,14,134,1,7,0,5,8,4,0,0,0,0,0
1980,Graduation,Married,,"77,353.00",0,1,12/16/13,38,59,275,59,69,101,107,2,6,0,4,8,4,0,0,0,0,0
1987,PhD,Single,,"95,169.00",0,0,10-09-2013,1,20,1285,21,106,20,449,1,4,0,3,4,1,0,0,1,1,0
1968,Master,Divorced,,"63,841.00",0,1,4/21/13,64,131,635,15,20,7,100,1,9,0,3,9,6,0,0,0,0,0
1982,Graduation,Single,,"39,660.00",1,0,08-08-2012,36,36,139,13,20,13,78,3,7,0,1,3,9,0,0,0,0,0
1969,Graduation,Married,,"56,796.00",0,1,2/16/13,24,37,656,38,62,47,161,3,8,0,9,7,7,0,0,0,0,0
1975,Graduation,Together,,"59,481.00",0,1,10/23/13,47,58,178,3,71,66,85,2,3,0,3,8,2,0,0,0,0,0
1958,PhD,Widow,,"50,520.00",0,1,1/28/14,25,14,112,0,2,1,6,2,3,0,1,3,6,0,0,0,0,0
1970,Graduation,Divorced,,"72,967.00",0,1,12/15/12,1,125,158,35,0,0,179,2,7,1,2,8,5,0,0,0,0,0
1970,PhD,Married,,"55,158.00",1,1,7/30/12,72,23,293,0,4,11,87,4,7,0,2,5,7,0,0,0,0,0
1984,PhD,Single,,"82,733.00",0,0,09-10-2013,28,38,712,50,65,38,420,1,8,0,4,7,4,0,0,0,0,0
1972,PhD,Married,,"70,116.00",0,0,1/26/13,73,29,707,44,95,58,603,1,2,0,8,12,1,0,0,0,0,0
1956,Graduation,Married,,"15,759.00",0,0,09-05-2013,12,3,1,2,6,0,5,1,1,0,0,2,7,0,0,0,0,0
1951,Basic,Married,,"26,997.00",0,0,11-05-2012,89,144,7,23,133,49,78,2,4,0,2,5,7,0,0,0,0,0
1974,Graduation,Divorced,,"19,346.00",1,0,1/30/14,26,2,2,0,3,6,9,1,1,0,0,3,8,0,0,0,0,0
1951,Graduation,Married,,"32,871.00",1,1,03-09-2013,28,5,22,2,0,2,12,1,1,0,0,3,4,0,0,0,0,0
1958,Master,Married,,"49,572.00",1,1,12/15/13,25,1,35,1,0,1,16,2,2,0,0,3,7,0,0,0,0,0
1966,Graduation,Married,,"61,286.00",0,1,08-02-2013,34,117,356,0,19,9,107,2,7,0,1,8,5,0,0,0,0,0
1985,Graduation,Single,,"29,760.00",1,0,8/29/12,87,17,64,4,7,5,68,4,3,0,1,4,8,0,0,0,0,0
1960,PhD,Divorced,,"50,611.00",0,1,10-04-2012,98,4,459,0,6,0,24,6,4,0,5,7,6,0,1,0,0,0
1969,Graduation,Together,,"38,361.00",1,0,12/27/13,74,14,39,0,20,8,56,3,3,0,1,3,7,0,0,0,0,0
1978,Graduation,Single,,"38,557.00",1,0,12/19/12,17,27,76,3,4,4,31,2,3,0,1,3,7,0,0,0,0,0
1988,Graduation,Single,,"20,518.00",1,0,5/18/14,58,9,4,1,4,1,6,1,1,0,1,2,5,0,0,0,0,0
1956,Graduation,Single,,"91,249.00",0,0,10/20/12,84,27,1324,27,71,108,119,0,7,0,9,6,4,1,1,1,1,0
1982,Graduation,Married,,"42,081.00",1,0,2/26/13,86,27,175,10,54,6,110,2,6,1,3,4,6,0,0,0,0,0
1962,Graduation,Single,,"66,565.00",0,1,12-05-2012,80,42,747,10,65,40,161,4,4,0,2,9,8,0,0,0,0,0
1967,PhD,Single,,"40,304.00",1,0,9/30/13,82,3,37,0,0,0,17,1,2,0,0,3,7,0,0,0,0,0
1980,Graduation,Married,,"33,228.00",1,0,1/23/14,28,5,22,2,7,4,31,1,2,0,0,3,7,0,0,0,0,0
1961,Basic,Married,,"28,249.00",0,0,6/15/14,80,10,1,9,2,14,7,1,2,0,0,3,6,0,0,0,0,0
1983,PhD,Married,,"50,150.00",0,0,6/20/13,32,11,135,46,65,61,92,2,5,0,2,7,5,0,0,0,0,0
1976,Master,Divorced,,"75,012.00",0,0,1/25/14,41,151,294,142,164,58,218,1,3,0,8,11,1,0,0,0,0,0
1985,2n Cycle,Single,,"41,473.00",1,0,6/19/13,80,9,21,8,15,3,20,1,2,0,0,3,7,0,0,0,0,0
1975,Graduation,Married,,"76,068.00",0,1,11/29/12,67,76,1115,12,33,12,128,1,2,0,3,4,6,1,1,0,0,0
1972,PhD,Married,,"78,075.00",0,0,04-05-2014,72,80,572,8,34,35,259,1,3,0,5,5,1,0,0,0,0,0
1957,PhD,Married,,"75,283.00",1,2,3/27/13,26,66,733,9,12,19,180,11,6,0,3,5,4,0,0,0,0,0
1985,Graduation,Married,,"55,357.00",2,0,2/19/13,66,64,374,64,84,25,116,3,6,0,2,11,5,0,0,0,0,0
1959,PhD,Married,,"38,829.00",0,1,04-06-2014,86,16,76,0,0,0,7,1,3,0,2,2,5,0,0,0,0,0
1968,PhD,Divorced,,"83,664.00",1,1,05-08-2013,57,86,866,21,28,21,151,3,2,0,2,12,5,0,0,0,0,0
1951,Master,Widow,,"73,705.00",0,2,03-05-2014,86,107,612,91,258,107,520,2,9,0,6,8,5,0,0,0,0,0
1957,PhD,Divorced,,"54,237.00",0,1,4/27/13,48,57,267,3,4,0,30,4,5,0,2,5,6,0,0,0,0,0
1956,Master,Married,,"50,965.00",0,1,2/20/13,87,29,544,13,8,6,85,3,10,1,4,5,8,0,0,0,0,0
1977,Graduation,Divorced,,"82,582.00",0,0,06-07-2014,54,241,510,120,156,40,550,1,4,1,9,7,1,0,0,0,1,0
1962,PhD,Divorced,,"85,696.00",0,0,05-03-2013,88,12,714,76,116,0,395,1,4,0,6,9,1,0,0,0,0,0
1972,Graduation,Divorced,,"51,813.00",1,1,04-11-2013,37,2,51,2,0,1,7,2,2,0,0,3,7,0,0,0,0,0
1976,PhD,Divorced,,"55,412.00",1,1,11/22/13,65,8,10,5,11,1,28,1,2,0,0,3,5,0,0,0,0,0
1972,PhD,Single,,"38,578.00",1,1,6/22/13,2,3,38,4,3,3,22,3,3,0,0,3,8,0,0,0,0,0
1971,Master,Single,,"36,230.00",1,0,10/17/13,17,3,14,2,8,2,30,1,2,0,0,4,5,0,0,0,0,0
1952,Graduation,Together,,"34,074.00",1,1,7/13/13,69,67,135,1,10,1,41,5,3,1,3,3,6,0,0,0,0,0
1981,Basic,Married,,"24,480.00",1,0,02-11-2013,46,17,4,19,28,25,9,3,3,0,0,4,7,0,0,0,0,0
1964,Graduation,Married,,"49,096.00",1,1,9/24/13,15,7,144,1,2,1,32,4,4,0,1,4,7,0,0,0,0,0
1956,Graduation,Divorced,,"22,304.00",0,0,08-04-2012,91,2,3,2,0,4,7,1,1,0,0,2,8,0,0,0,0,0
1966,Graduation,Single,,"37,070.00",1,1,3/20/13,30,39,231,7,4,15,137,9,5,0,1,8,7,0,0,0,0,0
1969,Graduation,Divorced,,"23,910.00",1,0,10/26/12,80,13,16,12,7,1,18,1,2,0,0,3,7,0,0,0,0,0
1988,Graduation,Married,,"38,872.00",1,0,5/30/13,93,22,23,3,3,19,21,2,3,0,0,3,8,0,0,0,0,0
1970,Graduation,Together,,"53,187.00",1,0,10/26/13,66,10,211,2,7,7,30,2,4,0,1,6,5,0,0,0,0,0
1957,Graduation,Widow,,"65,486.00",0,1,05-12-2014,29,14,245,19,37,67,125,1,4,0,2,10,2,0,0,0,0,0
1978,2n Cycle,Single,,"52,195.00",2,1,05-12-2014,2,1,12,0,0,0,4,1,1,0,0,2,8,0,0,0,0,0
1970,2n Cycle,Married,,"15,315.00",0,0,08-03-2013,27,17,7,4,15,8,13,2,2,0,0,4,5,0,0,0,0,0
1969,Graduation,Married,,"75,759.00",0,0,10/25/13,46,182,1394,22,89,91,708,1,9,1,7,9,5,0,0,1,1,0
1967,Graduation,Divorced,,"70,844.00",1,1,10/30/13,16,2,129,26,3,67,67,5,6,0,1,5,7,0,0,0,0,0
1961,Graduation,Divorced,,"27,215.00",2,1,1/23/13,50,28,30,5,8,9,22,4,2,0,1,4,6,0,0,0,0,0
1990,Graduation,Married,,"35,765.00",1,0,12-11-2013,86,15,22,3,0,5,30,2,2,0,0,4,6,0,0,0,0,0
1949,PhD,Single,,"26,518.00",1,1,04-08-2013,33,2,20,1,3,3,28,3,2,0,0,3,8,0,0,0,0,0
1975,2n Cycle,Widow,,"47,682.00",0,1,2/15/13,80,61,162,61,97,57,83,4,4,0,3,8,5,0,0,0,0,0
1962,Graduation,Married,,"71,434.00",0,1,9/18/13,4,168,711,36,172,96,217,3,7,0,4,7,4,0,1,0,1,0
1965,Master,Married,,"62,694.00",1,1,6/17/13,29,91,379,6,25,91,157,5,9,0,3,7,7,0,0,0,0,0
1972,Graduation,Married,,"40,321.00",1,1,7/29/13,59,27,44,4,6,0,21,2,3,0,0,3,7,0,0,0,0,0
1970,Graduation,Single,,"22,585.00",0,0,3/18/13,23,39,3,9,13,2,15,1,1,1,1,2,9,0,0,0,0,0
1978,Master,Single,,"68,092.00",0,0,12/16/13,7,48,852,60,78,36,207,2,2,0,6,10,5,0,0,0,0,0
1978,Graduation,Divorced,,"71,022.00",0,1,02-11-2014,30,242,909,12,0,12,278,3,5,1,2,11,8,0,0,0,0,0
1971,Graduation,Widow,,"30,372.00",1,1,12/25/12,33,7,15,0,7,3,12,3,2,0,0,3,7,0,0,0,0,0
1975,Master,Single,,"81,169.00",0,0,4/14/13,47,27,1288,20,80,61,613,1,5,0,7,9,2,0,0,0,0,0
1971,Master,Divorced,,"42,835.00",1,1,6/30/13,64,98,379,4,12,9,93,7,6,0,6,4,6,0,0,0,0,0
1972,Graduation,Single,,"72,504.00",0,1,04-06-2013,43,94,604,26,123,161,470,2,5,0,9,6,2,0,0,0,0,0
1948,PhD,Married,,"45,579.00",0,1,8/20/13,10,1,145,1,2,1,33,1,4,0,1,4,6,0,0,0,0,0
1965,Graduation,Single,,"23,478.00",0,0,3/19/13,51,39,28,6,12,17,27,1,3,0,0,3,8,0,0,0,0,0
1978,Graduation,Single,,"38,643.00",1,1,11/29/13,45,10,22,2,0,1,14,2,2,0,0,3,7,0,0,0,0,1
1989,2n Cycle,Together,,"10,404.00",1,0,05-04-2014,52,12,2,2,10,6,11,2,1,0,0,4,5,0,0,0,0,0
1955,Master,Married,,"38,452.00",1,1,3/30/14,62,2,56,0,0,0,14,3,3,0,0,3,7,0,0,0,0,0
1973,Graduation,Married,,"32,300.00",1,0,01-03-2013,1,6,13,3,6,5,6,1,1,0,0,3,8,0,0,0,0,0
1970,Graduation,Married,,"28,164.00",1,0,05-04-2013,23,12,3,18,11,8,26,3,2,0,0,4,7,0,0,0,0,0
1965,PhD,Married,,"84,618.00",0,0,11/22/13,96,0,684,100,21,66,801,1,6,0,9,10,2,0,0,1,0,0
1978,Graduation,Divorced,,"63,693.00",0,1,10/14/13,63,54,587,43,42,87,337,3,11,0,6,9,6,0,0,0,0,0
1981,Graduation,Married,,"26,872.00",0,0,10/16/13,0,32,3,10,3,16,8,1,1,0,1,2,6,0,0,0,0,0
1970,Master,Single,,"75,345.00",0,0,02-02-2013,16,133,918,57,99,38,842,1,5,0,8,6,3,0,0,0,1,0
1966,Graduation,Divorced,,"55,686.00",0,1,2/14/13,27,26,673,0,37,47,199,2,6,1,3,5,4,0,0,0,0,0
1959,Graduation,Married,,"79,823.00",0,1,3/31/14,6,43,835,73,114,73,380,1,6,0,9,7,2,0,1,0,0,0
1984,Graduation,Married,,"24,570.00",1,0,2/27/13,97,44,28,34,11,14,62,3,4,0,0,4,9,0,0,0,0,0
1967,Graduation,Together,,"44,931.00",0,1,1/18/14,0,7,78,0,0,0,11,1,2,0,1,3,5,0,0,0,0,0
1965,Graduation,Married,,"59,754.00",0,1,12-01-2012,96,139,115,27,4,146,44,3,5,0,2,6,5,0,0,0,0,0
1953,Master,Together,,"56,129.00",0,1,6/20/13,65,48,320,48,39,72,133,4,6,0,2,10,4,0,0,0,0,0
1986,Master,Together,,"42,386.00",1,0,1/13/13,43,11,65,4,0,4,16,1,3,0,0,3,8,0,0,0,0,0
1975,PhD,Single,,"52,614.00",0,1,12-01-2012,63,38,789,0,12,9,142,2,2,0,4,8,8,0,0,0,0,0
1972,PhD,Together,,"83,443.00",0,0,12/31/13,89,84,518,42,55,56,742,1,6,0,10,5,2,0,0,0,0,0
1962,Master,Married,,"58,646.00",0,1,06-10-2013,3,22,62,1,6,5,44,1,2,0,1,4,4,0,0,0,0,0
1967,Master,Single,,"59,235.00",1,0,01-12-2013,4,91,448,40,80,0,469,3,11,0,2,12,7,0,0,0,0,0
1954,2n Cycle,Married,,"63,564.00",0,0,1/29/14,0,65,769,80,15,34,252,1,10,1,10,7,6,0,0,0,0,0
1980,Graduation,Married,,"61,014.00",0,1,08-11-2012,17,29,269,129,182,43,495,4,9,0,3,4,7,0,0,0,0,0
1976,Graduation,Married,,"53,858.00",0,1,11-09-2012,50,26,407,53,58,150,221,4,4,0,3,6,4,0,0,0,0,0
1970,Graduation,Single,,"76,467.00",1,0,8/17/12,44,58,676,161,210,44,426,2,2,0,5,5,6,0,0,0,0,0
1969,Graduation,Together,,"76,653.00",0,0,8/16/13,91,126,736,63,219,189,946,1,4,0,7,11,2,0,0,1,1,0
1957,Graduation,Single,,,1,1,5/27/14,45,1,7,0,2,0,8,1,1,0,0,2,7,0,0,0,0,0
1971,Master,Together,,"80,573.00",0,0,10/14/12,85,15,829,138,60,92,430,1,4,0,6,13,2,0,0,0,0,0
1983,Master,Married,,"36,262.00",0,0,9/20/13,24,153,88,39,64,28,54,1,3,1,5,3,6,0,0,0,0,0
1959,PhD,Widow,,"67,786.00",0,0,12-07-2013,0,102,431,82,80,20,441,1,3,0,6,6,1,0,0,0,0,0
1954,PhD,Married,,"70,421.00",0,1,6/28/14,98,35,479,28,75,14,136,3,10,0,3,7,6,0,0,0,0,0
1947,Master,Single,,"91,712.00",0,0,10/17/13,47,48,1276,24,94,29,746,0,9,0,7,11,3,0,0,1,0,0
1971,Graduation,Together,,"71,819.00",0,1,8/28/13,70,168,1224,28,0,14,140,3,3,0,3,5,6,0,1,1,0,0
1986,PhD,Together,,"91,820.00",0,0,11/23/13,72,30,410,73,76,161,747,0,5,0,5,12,1,0,0,0,0,0
1958,Graduation,Together,,"64,961.00",0,1,12/23/12,97,38,382,114,75,124,276,2,6,0,4,4,3,0,0,0,0,0
1945,PhD,Single,,"1,13,734.00",0,0,5/28/14,9,3,6,2,1,262,3,0,27,0,0,0,1,0,0,0,0,0
1965,Master,Widow,,"51,390.00",1,1,09-08-2012,54,56,205,20,23,2,47,6,5,0,2,5,5,0,0,0,0,0
1955,Master,Together,,"82,384.00",0,0,11/19/12,55,190,984,51,180,120,432,1,3,0,10,13,1,0,0,1,0,0
1960,Master,Married,,"81,843.00",0,0,4/22/13,13,138,779,86,34,69,537,1,5,0,9,12,3,0,0,0,0,0
1954,Graduation,Together,,"77,972.00",0,0,3/18/14,18,12,613,22,33,102,319,1,4,0,6,9,1,0,0,0,0,0
