Year_Birth,Income,Kidhome,Teenhome,Recency,MntGoldProds,MntWines,MntFruits,MntFishProducts,MntSweetProducts,MntMeatProducts,NumDealsPurchases,NumWebPurchases,AcceptedCmp3,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,Complain,D_Customer,M_Customer,Y_Customer,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,target
1971,42767,2,0,53,38,20,6,19,5,43,1,3,0,1,2,8,0,0,0,0,0,11,5,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,0
1963,66313,0,1,86,7,625,7,10,22,99,2,6,0,3,12,4,0,0,0,0,0,16,9,2013,False,False,False,False,True,False,False,False,False,False,True,False,False,0
1962,50127,0,1,88,15,274,0,4,6,21,1,5,0,1,6,6,0,1,0,0,0,29,5,2014,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1983,51390,1,0,11,1,5,5,0,2,6,1,1,0,0,2,7,0,0,0,0,0,15,11,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1978,51390,0,0,53,22,32,2,12,4,1607,0,0,0,0,1,0,0,1,0,0,0,12,8,2012,True,False,False,False,False,False,False,False,False,False,True,False,False,0
1956,46998,0,1,55,27,172,41,45,6,86,5,5,1,3,5,7,0,0,0,0,0,22,10,2012,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1983,37292,1,0,32,66,275,0,10,23,86,5,6,0,3,5,8,0,0,0,0,0,18,4,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1969,38361,1,0,74,14,39,0,20,8,56,3,3,0,1,3,7,0,0,0,0,0,27,12,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1959,24221,0,0,94,22,8,9,2,5,9,1,1,0,1,3,4,0,0,0,0,0,20,8,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1956,34941,1,1,26,24,39,2,4,3,25,2,3,0,0,3,8,0,0,0,0,0,6,3,2013,False,False,False,True,False,False,False,False,False,False,True,False,False,0
1947,81044,0,0,0,26,450,26,73,98,535,1,5,0,6,10,1,0,0,0,0,0,27,12,2013,True,False,False,False,False,False,False,False,True,False,False,False,False,0
1956,60714,0,0,56,162,216,162,101,92,224,2,7,0,4,10,5,0,0,0,0,0,17,1,2013,False,False,True,False,False,False,False,False,False,True,False,False,False,1
1981,56937,1,0,81,8,746,8,11,8,125,7,8,0,6,9,6,0,1,0,0,0,4,8,2012,False,False,False,False,True,False,False,False,False,False,True,False,False,1
1962,31497,0,1,22,4,108,1,13,1,28,2,3,0,1,4,8,0,0,0,0,0,6,12,2012,False,False,False,False,True,False,False,False,False,False,True,False,False,0
1985,19986,1,0,74,6,3,6,0,2,5,1,0,0,0,3,7,0,0,0,0,0,14,11,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1989,31928,1,0,5,5,33,4,4,2,24,2,3,0,0,4,7,0,0,0,0,0,28,3,2014,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1989,51390,0,0,69,61,861,138,60,30,461,1,6,0,5,12,3,0,1,0,1,0,3,6,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1972,46423,1,1,6,8,68,0,0,0,16,3,2,0,0,4,7,0,0,0,0,0,18,9,2013,False,False,False,True,False,False,False,False,False,True,False,False,False,0
1990,91172,0,0,94,56,162,28,0,28,818,0,4,1,3,7,3,1,0,1,1,0,27,3,2013,False,False,False,True,False,False,False,False,False,True,False,False,False,1
1964,61839,0,0,20,120,1000,155,224,17,379,1,4,0,8,4,8,0,0,0,0,0,12,8,2012,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1970,69084,1,0,43,30,1181,107,39,30,199,2,7,0,3,13,8,0,0,0,0,0,19,11,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1983,25271,1,0,45,7,10,1,10,4,18,1,1,0,1,2,9,0,0,0,0,0,5,12,2012,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1958,79761,0,1,32,11,415,5,15,35,124,1,5,0,2,11,3,0,0,0,0,0,4,10,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,0
1976,74068,0,0,14,15,783,30,140,76,537,1,4,0,10,9,2,0,0,0,0,0,19,3,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1958,46692,0,1,37,88,170,6,24,12,97,3,6,0,1,5,6,0,0,0,0,0,6,6,2013,False,False,False,True,False,False,False,False,False,False,True,False,False,0
1969,26877,0,0,74,40,101,13,20,18,76,2,3,0,1,6,6,0,0,0,0,0,19,8,2013,False,False,False,True,False,False,False,False,False,True,False,False,False,0
1971,34600,1,1,8,15,199,33,8,3,60,5,5,0,2,5,8,0,0,0,0,0,1,1,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,1
1953,94384,0,0,62,172,1111,24,160,45,790,0,5,0,8,5,2,0,1,1,1,0,4,3,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,1
1974,67445,0,1,63,11,757,80,29,80,217,5,9,0,6,12,6,0,0,0,0,0,12,8,2012,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1986,14906,0,0,86,15,7,7,7,16,14,3,2,0,1,3,7,0,0,0,0,0,22,12,2012,False,True,False,False,False,False,False,False,False,True,False,False,False,0
1966,34704,0,1,65,5,29,0,0,1,5,1,1,0,0,3,5,0,0,0,0,0,27,4,2013,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1990,18929,0,0,15,18,32,0,23,4,8,1,1,0,0,4,6,0,0,0,0,0,16,2,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1949,81698,0,0,4,47,179,28,111,123,520,1,3,0,8,13,1,0,0,0,0,0,6,11,2013,False,False,False,True,False,False,False,False,True,False,False,False,False,1
1950,34026,1,1,11,17,18,6,12,8,15,3,2,0,1,3,5,0,0,0,0,0,5,8,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1950,63120,0,1,53,69,965,69,54,41,279,5,8,0,4,9,7,0,0,0,0,0,28,9,2012,False,False,False,True,False,False,False,True,False,False,False,False,False,1
1970,69016,0,1,61,161,726,53,123,107,363,4,8,0,9,13,5,0,0,0,0,0,22,11,2012,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1983,30096,1,0,30,9,5,3,12,5,11,1,2,0,0,3,6,0,0,0,0,0,22,5,2014,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1975,53201,1,1,49,27,280,7,20,0,81,8,6,0,3,5,7,0,0,0,0,0,12,2,2013,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1982,69109,0,0,10,95,823,25,124,29,459,1,6,0,6,7,4,0,0,1,0,0,9,11,2012,False,False,True,False,False,False,False,False,True,False,False,False,False,1
1973,24639,1,1,3,1,20,3,0,4,16,3,2,0,0,4,6,0,0,0,0,0,28,1,2014,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1987,21063,1,0,34,15,1,10,19,3,11,2,2,0,0,3,6,0,0,0,0,0,25,9,2013,False,True,False,False,False,False,False,False,False,True,False,False,False,0
1973,85844,0,0,62,38,938,19,25,95,843,1,6,0,6,7,2,0,0,1,0,0,29,5,2014,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1970,69084,1,0,43,30,1181,107,39,30,199,2,7,0,3,13,8,0,0,0,0,0,19,11,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1960,83151,0,0,93,18,407,28,120,74,100,1,5,0,9,4,3,0,0,0,0,0,10,10,2012,False,False,False,True,False,False,False,False,False,False,True,False,False,0
1974,34596,1,0,48,7,14,0,0,0,2,1,1,0,0,2,8,0,0,0,0,0,13,4,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1958,35246,1,1,53,10,36,0,2,2,12,4,3,0,1,3,5,0,0,0,0,0,16,4,2014,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1971,43300,0,1,87,31,91,3,2,1,52,3,4,0,0,4,8,0,0,0,0,0,13,10,2012,False,False,True,False,False,False,False,True,False,False,False,False,False,1
1965,71322,0,1,57,204,753,43,69,10,226,2,8,0,5,13,4,0,0,0,0,0,16,2,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1963,22419,0,0,74,42,30,3,19,21,47,1,3,0,2,2,8,0,0,0,0,0,18,4,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1965,47025,1,1,6,1,16,0,0,0,3,1,1,0,0,2,7,0,0,0,0,0,9,2,2014,False,False,False,False,True,False,False,True,False,False,False,False,False,0
1976,75484,0,1,50,34,378,97,197,194,259,2,7,0,3,6,4,0,0,0,0,0,2,8,2012,True,False,False,False,False,False,False,False,False,False,True,False,False,0
1962,82571,0,0,28,79,861,31,62,95,558,0,6,0,5,13,2,0,0,1,0,0,2,4,2014,False,False,False,False,True,False,False,False,False,False,False,True,False,0
1957,47320,0,1,10,19,200,19,50,15,111,6,5,0,1,8,6,0,0,0,0,0,1,8,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1966,48877,0,1,27,24,102,1,2,0,15,1,3,0,0,4,7,0,0,0,0,0,5,1,2014,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1982,71853,0,0,29,32,358,108,141,97,413,1,2,0,8,6,1,0,0,0,0,0,8,5,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1964,82224,0,0,83,40,307,26,138,31,360,1,6,0,9,5,3,0,0,0,1,0,25,1,2014,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1996,7500,0,0,24,50,3,18,15,22,14,3,3,0,1,3,9,0,0,0,0,0,9,11,2012,True,False,False,False,False,False,False,False,True,False,False,False,False,1
1966,45903,0,1,80,3,33,8,2,10,10,2,2,0,1,3,4,0,0,0,0,0,23,4,2014,False,False,False,True,False,False,False,False,False,False,True,False,False,0
1989,64449,1,0,70,70,218,63,137,35,282,4,5,0,3,12,4,0,0,0,0,0,18,2,2014,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1965,56962,2,1,60,26,292,3,10,3,77,7,6,0,3,5,7,0,0,0,0,0,11,10,2013,False,False,False,True,False,False,False,False,True,False,False,False,False,0
1986,71952,1,0,93,93,656,80,52,107,455,2,8,1,4,8,4,0,0,1,0,0,10,1,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1947,73059,0,1,36,71,410,112,0,82,420,1,9,0,3,13,4,0,0,0,0,0,31,8,2013,False,False,False,False,True,False,False,False,False,False,True,False,False,0
1984,55434,1,0,21,76,238,115,169,69,215,3,5,0,3,13,4,0,0,0,0,0,5,10,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1948,61467,0,2,69,49,410,16,0,5,114,3,5,0,2,10,5,0,0,0,0,0,9,12,2012,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1956,55249,0,1,81,11,97,1,2,0,19,1,2,0,1,4,3,0,0,0,0,0,17,4,2014,False,False,False,True,False,False,False,False,False,False,True,False,False,0
1945,62847,0,0,45,61,521,168,80,76,706,1,3,0,6,4,2,0,0,0,0,0,15,1,2013,False,False,False,True,False,False,False,False,False,False,True,False,False,0
1969,58917,1,2,10,28,151,7,0,7,89,5,4,0,1,6,5,0,0,0,0,0,24,3,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1952,28457,0,0,96,14,24,1,29,29,108,1,4,0,1,4,8,0,0,0,0,0,28,10,2012,True,False,False,False,False,False,False,False,False,False,False,True,False,0
1971,18793,1,0,14,20,4,16,0,17,20,3,2,0,0,4,8,0,0,0,0,0,12,1,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1973,37401,1,0,14,3,19,3,3,1,19,2,2,0,0,3,7,0,0,0,0,0,6,5,2014,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1956,31395,1,1,80,7,23,1,0,8,25,4,2,0,1,3,6,0,0,0,0,0,23,3,2013,True,False,False,False,False,False,False,True,False,False,False,False,False,0
1976,68397,0,1,6,80,760,80,17,13,466,1,6,0,9,5,3,0,0,0,0,0,17,11,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1956,46086,0,1,34,50,244,8,7,2,32,4,3,0,1,8,4,0,0,0,0,0,3,11,2013,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1957,78499,0,0,12,97,912,72,47,36,170,1,11,0,3,4,4,0,0,1,0,0,23,11,2013,False,False,True,False,False,False,False,False,False,True,False,False,False,1
1976,55424,0,1,6,107,462,61,10,53,184,4,7,1,5,9,6,0,0,0,0,0,25,11,2012,False,False,False,False,True,False,False,False,True,False,False,False,False,1
1975,17003,1,0,37,7,2,5,4,8,12,3,2,0,0,4,5,0,0,0,0,0,9,12,2013,True,False,False,False,False,False,False,False,True,False,False,False,False,0
1900,36640,1,0,99,25,15,6,7,4,8,1,2,0,1,2,5,0,0,0,0,1,26,9,2013,True,False,False,False,False,False,False,True,False,False,False,False,False,0
1953,48794,1,1,97,15,25,0,3,0,11,1,1,0,0,3,4,0,0,0,0,0,26,6,2014,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1987,61787,0,0,71,85,621,73,78,48,414,1,8,0,4,6,5,0,0,0,0,0,6,7,2013,False,False,False,True,False,False,False,True,False,False,False,False,False,0
1973,59041,1,1,25,6,69,2,2,2,15,2,2,0,0,4,5,0,0,0,0,0,7,5,2014,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1974,39996,1,1,85,1,11,0,0,0,3,1,1,0,0,2,6,0,0,0,0,0,22,5,2014,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1978,54880,1,0,57,118,308,85,102,45,137,2,6,0,2,11,5,0,0,0,0,0,1,3,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,0
1981,75774,1,0,27,56,340,21,258,14,134,1,7,0,5,8,4,0,0,0,0,0,2,5,2014,True,False,False,False,False,False,False,False,False,False,True,False,False,0
1980,77353,0,1,38,59,275,59,69,101,107,2,6,0,4,8,4,0,0,0,0,0,16,12,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1987,95169,0,0,1,20,1285,21,106,20,449,1,4,0,3,4,1,0,0,1,1,0,9,10,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,1
1968,63841,0,1,64,131,635,15,20,7,100,1,9,0,3,9,6,0,0,0,0,0,21,4,2013,False,False,False,True,False,False,False,True,False,False,False,False,False,0
1982,39660,1,0,36,36,139,13,20,13,78,3,7,0,1,3,9,0,0,0,0,0,8,8,2012,False,False,True,False,False,False,False,False,False,True,False,False,False,1
1969,56796,0,1,24,37,656,38,62,47,161,3,8,0,9,7,7,0,0,0,0,0,16,2,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1975,59481,0,1,47,58,178,3,71,66,85,2,3,0,3,8,2,0,0,0,0,0,23,10,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1958,50520,0,1,25,14,112,0,2,1,6,2,3,0,1,3,6,0,0,0,0,0,28,1,2014,False,False,False,False,True,False,False,False,False,False,False,True,False,0
1970,72967,0,1,1,125,158,35,0,0,179,2,7,1,2,8,5,0,0,0,0,0,15,12,2012,False,False,True,False,False,False,False,True,False,False,False,False,False,1
1970,55158,1,1,72,23,293,0,4,11,87,4,7,0,2,5,7,0,0,0,0,0,30,7,2012,False,False,False,False,True,False,False,False,True,False,False,False,False,1
1984,82733,0,0,28,38,712,50,65,38,420,1,8,0,4,7,4,0,0,0,0,0,10,9,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,1
1972,70116,0,0,73,29,707,44,95,58,603,1,2,0,8,12,1,0,0,0,0,0,26,1,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1956,15759,0,0,12,3,1,2,6,0,5,1,1,0,0,2,7,0,0,0,0,0,5,9,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1951,26997,0,0,89,144,7,23,133,49,78,2,4,0,2,5,7,0,0,0,0,0,5,11,2012,False,True,False,False,False,False,False,False,True,False,False,False,False,0
1974,19346,1,0,26,2,2,0,3,6,9,1,1,0,0,3,8,0,0,0,0,0,30,1,2014,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1951,32871,1,1,28,5,22,2,0,2,12,1,1,0,0,3,4,0,0,0,0,0,9,3,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1958,49572,1,1,25,1,35,1,0,1,16,2,2,0,0,3,7,0,0,0,0,0,15,12,2013,False,False,False,True,False,False,False,False,True,False,False,False,False,0
1966,61286,0,1,34,117,356,0,19,9,107,2,7,0,1,8,5,0,0,0,0,0,2,8,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1985,29760,1,0,87,17,64,4,7,5,68,4,3,0,1,4,8,0,0,0,0,0,29,8,2012,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1960,50611,0,1,98,4,459,0,6,0,24,6,4,0,5,7,6,0,1,0,0,0,4,10,2012,False,False,False,False,True,False,False,True,False,False,False,False,False,1
1969,38361,1,0,74,14,39,0,20,8,56,3,3,0,1,3,7,0,0,0,0,0,27,12,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1978,38557,1,0,17,27,76,3,4,4,31,2,3,0,1,3,7,0,0,0,0,0,19,12,2012,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1988,20518,1,0,58,9,4,1,4,1,6,1,1,0,1,2,5,0,0,0,0,0,18,5,2014,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1956,91249,0,0,84,27,1324,27,71,108,119,0,7,0,9,6,4,1,1,1,1,0,20,10,2012,False,False,True,False,False,False,False,False,False,True,False,False,False,1
1982,42081,1,0,86,27,175,10,54,6,110,2,6,1,3,4,6,0,0,0,0,0,26,2,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1962,66565,0,1,80,42,747,10,65,40,161,4,4,0,2,9,8,0,0,0,0,0,5,12,2012,False,False,True,False,False,False,False,False,False,True,False,False,False,0
1967,40304,1,0,82,3,37,0,0,0,17,1,2,0,0,3,7,0,0,0,0,0,30,9,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,0
1980,33228,1,0,28,5,22,2,7,4,31,1,2,0,0,3,7,0,0,0,0,0,23,1,2014,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1961,28249,0,0,80,10,1,9,2,14,7,1,2,0,0,3,6,0,0,0,0,0,15,6,2014,False,True,False,False,False,False,False,False,True,False,False,False,False,0
1983,50150,0,0,32,11,135,46,65,61,92,2,5,0,2,7,5,0,0,0,0,0,20,6,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1976,75012,0,0,41,151,294,142,164,58,218,1,3,0,8,11,1,0,0,0,0,0,25,1,2014,False,False,False,True,False,False,False,True,False,False,False,False,False,0
1985,41473,1,0,80,9,21,8,15,3,20,1,2,0,0,3,7,0,0,0,0,0,19,6,2013,True,False,False,False,False,False,False,False,False,True,False,False,False,0
1975,76068,0,1,67,76,1115,12,33,12,128,1,2,0,3,4,6,1,1,0,0,0,29,11,2012,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1972,78075,0,0,72,80,572,8,34,35,259,1,3,0,5,5,1,0,0,0,0,0,5,4,2014,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1957,75283,1,2,26,66,733,9,12,19,180,11,6,0,3,5,4,0,0,0,0,0,27,3,2013,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1985,55357,2,0,66,64,374,64,84,25,116,3,6,0,2,11,5,0,0,0,0,0,19,2,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1959,38829,0,1,86,16,76,0,0,0,7,1,3,0,2,2,5,0,0,0,0,0,6,4,2014,False,False,False,False,True,False,False,False,True,False,False,False,False,0
1968,83664,1,1,57,86,866,21,28,21,151,3,2,0,2,12,5,0,0,0,0,0,8,5,2013,False,False,False,False,True,False,False,True,False,False,False,False,False,0
1951,73705,0,2,86,107,612,91,258,107,520,2,9,0,6,8,5,0,0,0,0,0,5,3,2014,False,False,False,True,False,False,False,False,False,False,False,True,False,0
1957,54237,0,1,48,57,267,3,4,0,30,4,5,0,2,5,6,0,0,0,0,0,27,4,2013,False,False,False,False,True,False,False,True,False,False,False,False,False,0
1956,50965,0,1,87,29,544,13,8,6,85,3,10,1,4,5,8,0,0,0,0,0,20,2,2013,False,False,False,True,False,False,False,False,True,False,False,False,False,0
1977,82582,0,0,54,241,510,120,156,40,550,1,4,1,9,7,1,0,0,0,1,0,7,6,2014,False,False,True,False,False,False,False,True,False,False,False,False,False,1
1962,85696,0,0,88,12,714,76,116,0,395,1,4,0,6,9,1,0,0,0,0,0,3,5,2013,False,False,False,False,True,False,False,True,False,False,False,False,False,1
1972,51813,1,1,37,2,51,2,0,1,7,2,2,0,0,3,7,0,0,0,0,0,11,4,2013,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1976,55412,1,1,65,8,10,5,11,1,28,1,2,0,0,3,5,0,0,0,0,0,22,11,2013,False,False,False,False,True,False,False,True,False,False,False,False,False,0
1972,38578,1,1,2,3,38,4,3,3,22,3,3,0,0,3,8,0,0,0,0,0,22,6,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,0
1971,36230,1,0,17,3,14,2,8,2,30,1,2,0,0,4,5,0,0,0,0,0,17,10,2013,False,False,False,True,False,False,False,False,False,True,False,False,False,0
1952,34074,1,1,69,67,135,1,10,1,41,5,3,1,3,3,6,0,0,0,0,0,13,7,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1981,24480,1,0,46,17,4,19,28,25,9,3,3,0,0,4,7,0,0,0,0,0,11,2,2013,False,True,False,False,False,False,False,False,True,False,False,False,False,0
1964,49096,1,1,15,7,144,1,2,1,32,4,4,0,1,4,7,0,0,0,0,0,24,9,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1956,22304,0,0,91,2,3,2,0,4,7,1,1,0,0,2,8,0,0,0,0,0,4,8,2012,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1966,37070,1,1,30,39,231,7,4,15,137,9,5,0,1,8,7,0,0,0,0,0,20,3,2013,False,False,True,False,False,False,False,False,False,True,False,False,False,1
1969,23910,1,0,80,13,16,12,7,1,18,1,2,0,0,3,7,0,0,0,0,0,26,10,2012,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1988,38872,1,0,93,22,23,3,3,19,21,2,3,0,0,3,8,0,0,0,0,0,30,5,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1970,53187,1,0,66,10,211,2,7,7,30,2,4,0,1,6,5,0,0,0,0,0,26,10,2013,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1957,65486,0,1,29,14,245,19,37,67,125,1,4,0,2,10,2,0,0,0,0,0,12,5,2014,False,False,True,False,False,False,False,False,False,False,False,True,False,0
1978,52195,2,1,2,1,12,0,0,0,4,1,1,0,0,2,8,0,0,0,0,0,12,5,2014,True,False,False,False,False,False,False,False,False,True,False,False,False,0
1970,15315,0,0,27,17,7,4,15,8,13,2,2,0,0,4,5,0,0,0,0,0,3,8,2013,True,False,False,False,False,False,False,False,True,False,False,False,False,0
1969,75759,0,0,46,182,1394,22,89,91,708,1,9,1,7,9,5,0,0,1,1,0,25,10,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,1
1967,70844,1,1,16,2,129,26,3,67,67,5,6,0,1,5,7,0,0,0,0,0,30,10,2013,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1961,27215,2,1,50,28,30,5,8,9,22,4,2,0,1,4,6,0,0,0,0,0,23,1,2013,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1990,35765,1,0,86,15,22,3,0,5,30,2,2,0,0,4,6,0,0,0,0,0,11,12,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1949,26518,1,1,33,2,20,1,3,3,28,3,2,0,0,3,8,0,0,0,0,0,8,4,2013,False,False,False,False,True,False,False,False,False,True,False,False,False,1
1975,47682,0,1,80,61,162,61,97,57,83,4,4,0,3,8,5,0,0,0,0,0,15,2,2013,True,False,False,False,False,False,False,False,False,False,False,True,False,0
1962,71434,0,1,4,168,711,36,172,96,217,3,7,0,4,7,4,0,1,0,1,0,18,9,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1965,62694,1,1,29,91,379,6,25,91,157,5,9,0,3,7,7,0,0,0,0,0,17,6,2013,False,False,False,True,False,False,False,False,True,False,False,False,False,0
1972,40321,1,1,59,27,44,4,6,0,21,2,3,0,0,3,7,0,0,0,0,0,29,7,2013,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1970,22585,0,0,23,39,3,9,13,2,15,1,1,1,1,2,9,0,0,0,0,0,18,3,2013,False,False,True,False,False,False,False,False,False,True,False,False,False,1
1978,68092,0,0,7,48,852,60,78,36,207,2,2,0,6,10,5,0,0,0,0,0,16,12,2013,False,False,False,True,False,False,False,False,False,True,False,False,False,0
1978,71022,0,1,30,242,909,12,0,12,278,3,5,1,2,11,8,0,0,0,0,0,11,2,2014,False,False,True,False,False,False,False,True,False,False,False,False,False,0
1971,30372,1,1,33,7,15,0,7,3,12,3,2,0,0,3,7,0,0,0,0,0,25,12,2012,False,False,True,False,False,False,False,False,False,False,False,True,False,0
